Water,Eau,Wasser,Acqua,みず,물,Agua
Leafage,Feuillage,Blattwerk,Fogliame,このは,나뭇잎,Follaje
Moongeist Beam,Rayon Spectral,Schattenstrahl,Raggio d'Ombra,シャドーレイ,섀도레이,Rayo Umbrío
Nature's Madness,Ire de la Nature,Naturzorn,Ira della Natura,しぜんのいかり,자연의분노,Furia Natural
Revelation Dance,Danse Éveil,Wecktanz,Mutadanza,めざめるダンス,잠재댄스,Danza Despertar
Shell Trap,Carapiège,Panzerfalle,Gusciotrappola,トラップシェル,트랩셸,Coraza Trampa
Solar Blade,Lame Solaire,Solarklinge,Lama Solare,ソーラーブレード,솔라블레이드,Cuchilla Solar
Sunsteel Strike,Choc Météore,Stahlgestirn,Astrocarica,メテオドライブ,메테오드라이브,Meteoimpacto
All-Out Pummeling,Combo Hyper-Furie,Fulminante Faustschläge,Iperscarica Furiosa,ぜんりょくむそうげきれつけん,,Ráfaga Demoledora
Never-Ending Nightmare,Appel des Ombres Éternelles,Ewige Nacht,Abbraccio Spettrale,むげんあんやへのいざない,,Presa Espectral
Inferno Overdrive,Pyro-Explosion Cataclysmique,Dynamische Maxiflamme,Fiammobomba Detonante,ダイナミックフルフレイム,다이내믹풀플레임,Hecatombe Pírica
Hydro Vortex,Super Tourbillon Abyssal,Super-Wassertornado,Idrovortice Abissale,スーパーアクアトルネード,슈퍼아쿠아토네이도,Hidrovórtice Abisal
Bloom Doom,Pétalexplosion Éblouissante,Brillante Blütenpracht,Floriscoppio Sfolgorante,ブルームシャインエクストラ,블룸샤인엑스트라,Megatón Floral
Gigavolt Havoc,Fulguro-Lance Gigavolt,Gigavolt-Funkensalve,Gigascarica Folgorante,スパーキングギガボルト,스파킹기가볼트,Gigavoltio Destructor
Catastropika,Pikachute Foudroyante,Perfektes Pika-Projektil,Super Pikaboom,ひっさつのピカチュート,필살피카슛,Pikavoltio Letal
Stoked Sparksurfer,Électro-Surf Survolté,Blitz-Wellenritt,Elettrosurf Folgorante,ライトニングサーフライド,라이트닝 서프라이드,Surfeo Galvánico
Extreme Evoboost,Neuf pour Un,Macht der Neun,Potenziamento Eevolutivo,ナインエボルブースト,나인이볼부스트,Novena Potencia
Pulverizing Pancake,Gare au Ronflex,Schluss mit lustig,Adesso Faccio sul Serio,ほんきをだす こうげき,진심의공격,Arrojo Intempestivo
Repel,Repousse,Schutz,Repellente,むしよけスプレー,벌레회피스프레이,Repelente
Super Repel,Superepousse,Superschutz,Superrepellente,シルバースプレー,실버스프레이,Superrepelente
Max Repel,Max Repousse,Top-Schutz,Repellente Max,ゴールドスプレー,골드스프레이,Máximo Repelente
Escape Rope,Corde Sortie,Fluchtseil,Fune Di Fuga,あなぬけのヒモ,동굴탈출로프,Cuerda Huida
Black Flute,Flute Noire,Schwarz Flöte,Flauto Nero,くろいビードロ,검정비드로,Flauta Negra
White Flute,Fluteblanche,Weisse Flöte,Flauto Bianco,しろいビードロ,하양비드로,Flauta Blanca
Shoal Salt,Sel Trefonds,Küstensalz,Sale Ondoso,あさせのしお,여울소금,Sal Cardumen
Shoal Shell,Coquille Trefonds,Küstenschale,Gusciondoso,あさせのかいがら,여울조개껍질,Concha Cardumen
Red Shard,Tesson Rouge,Purpurstück,Coccio Rosso,あかいかけら,빨강조각,Parte Roja
Blue Shard,Tesson Bleu,Indigostück,Coccio Blu,あおいかけら,파랑조각,Parte Azul
Yellow Shard,Tesson Jaune,Gelbstück,Coccio Giallo,きいろいかけら,노랑조각,Parte Amarilla
Green Shard,Tesson Vert,Grünstück,Coccio Verde,みどりのかけら,초록조각,Parte Verde
Exp. All,Multi Exp,EP-Teiler,Distrib Esp.,がくしゅうそうち,학습장치,Repartir Exp.
Normal Box,Coffre Normal,Schachtel,Scatola Normale,きのはこ,나무상자,Caja Normal
Gorgeous Box,Coffre Luxe,Schatulle,Scatola Lusso,きりのはこ,오동나무상자,Caja Grande
SlowpokeTail,QueueRamolos,Flegmonrute,CodaSlowpoke,おいしいシッポ,맛있는꼬리,Colaslowpoke
Honey,Miel,Honig,Miele,あまいミツ,달콤한꿀,Miel
Time Flute,Flute du Temps,Zeitflöte,Flauto Tempo,ときのふえ,--,Fl. Tiempo
Poké Snack,Poké Snack,Pokésnack,Poké Snack,ポケまんま,--,Poké Dulce
Growth Mulch,Fertipousse,Wachsmulch,Fertilrapido,すくすくこやし,무럭무럭비료,Abono Rápido
Damp Mulch,Fertihumide,Feuchtmulch,Fertilidro,じめじめこやし,축축이비료,Abono Lento
Stable Mulch,Fertistable,Stabilmulch,Fertilsaldo,ながながこやし,오래오래비료,Ab. Fijador
Gooey Mulch,Fertiglu,Neumulch,Fertilcolla,ねばねばこやし,끈적끈적비료,Abono Brote
Root Fossil,Fossile Racine,Wurzelfossil,Radifossile,ねっこのカセキ,뿌리화석,Fósil Raíz
Claw Fossil,Fossile Griffe,Klauenfossil,Fossilunghia,ツメのカセキ,발톱화석,Fósil Garra
Helix Fossil,Fossile Nautile,Helixfossil,Helixfossile,かいのカセキ,조개화석,Fósil Helix
Dome Fossil,Fossile Dôme,Domfossil,Domofossile,こうらのカセキ,껍질화석,Fósil Domo
Old Amber,Vieil Ambre,Altbernstein,Ambra Antica,ひみつのコハク,비밀의호박,Ambar Viejo
Armor Fossil,Fossile Armure,Panzerfossil,Fossilscudo,たてのカセキ,방패의화석,Fósil Coraza
Skull Fossil,Fossile Crâne,Kopffossil,Fossilcranio,ずがいのカセキ,두개의화석,Fósil Cráneo
Odd Keystone,Clé de Voûte,Spiritkern,Roccianima,かなめいし,쐐기돌,P. Espíritu
Cover Fossil,Fossile Plaque,Schildfossil,Fossiltappo,ふたのカセキ,덮개화석,Fósil Tapa
Plume Fossil,Fossile Plume,Federfossil,Fossilpiuma,はねのカセキ,날개화석,Fósil Pluma
Pass Orb,Offrisphère,Transferorb,Passabilia,デルダマ,딜구슬,Regalosfera
Ability Capsule,Pilule Talent,Fähigkeiten-Kapsel,Capsula Abilità,とくせいカプセル,특성캡슐,Cáps. Habilidad
Rich Mulch,Fertibondance,Sprießmulch,Fertilflorido,たわわこやし,주렁주렁비료,Abono Fértil
Surprise Mulch,Fertistantané,Wundermulch,Fertilsorpresa,びっくりこやし,깜놀비료,Abono Sorpresa
Boost Mulch,Fertibérance,Wuchermulch,Fertilcopioso,ぐんぐんこやし,부쩍부쩍비료,Abono Fructífero
Amaze Mulch,Fertiprodige,Ultramulch,Fertilprodigio,とんでもこやし,기절초풍비료,Abono Insólito
Discount Coupon,Bon Réduction,Rabattmarke,Buono sconto,バーゲンチケット,바겐세일티켓,Vale Descuento
Strange Souvenir,Bibelot Bizarre,Skurriloskulptur,Strano ninnolo,ふしぎなおきもの,이상한장식품,Estatuilla Rara
Jaw Fossil,Fossile Mâchoire,Kieferfossil,Fossilmascella,アゴのカセキ,턱화석,Fósil Mandíbula
Sail Fossil,Fossile Nageoire,Flossenfossil,Fossilpinna,ヒレのカセキ,지느러미화석,Fósil Aleta
Sun Stone,Pierre Soleil,Sonnenstein,Pietrasolare,たいようのいし,태양의돌,Piedra Solar
Moon Stone,Pierre Lune,Mondstein,Pietralunare,つきのいし,달의돌,Piedra Lunar
Fire Stone,Pierre Feu,Feuerstein,Pietrafocaia,ほのおのいし,불꽃의돌,Piedra Fuego
Thunder Stone,Pierre Foudre,Donnerstein,Pietratuono,かみなりのいし,천둥의돌,Piedra Trueno*
Water Stone,Pierre Eau,Wasserstein,Pietraidrica,みずのいし,물의돌,Piedra Agua
Leaf Stone,Pierre Plante,Blattstein,Pietrafoglia,リーフのいし,리프의돌,Piedra Hoja
Shiny Stone,Pierre Éclat,Leuchtstein,Pietrabrillo,ひかりのいし,빛의돌,Piedra Día
Dusk Stone,Pierre Nuit,Finsterstein,Neropietra,やみのいし,어둠의돌,Piedra Noche
Dawn Stone,Pierre Aube,Funkelstein,Pietralbore,めざめいし,각성의돌,Piedra Alba
Tiny Mushroom,Petit Champi,Minipilz,Piccolo Fungo,ちいさなキノコ,작은버섯,Mini Seta
Big Mushroom,Gros Champi,Riesenpilz,Grande Fungo,おおきなキノコ,큰버섯,Seta Grande
Pearl,Perle,Perle,Perla,しんじゅ,진주,Perla
Big Pearl,Grande Perle,Riesenperle,Grande Perla,おおきなしんじゅ,큰진주,Perla Grande
Stardust,Poussière Étoile,Sternenstaub,Polvostella,ほしのすな,별의모래,Polvoestelar
Star Piece,Morceau d'Étoile,Sternenstück,Pezzo Stella,ほしのかけら,별의조각,Trozo Estrella
Gold Leaf,Feuille D'Or,Goldblatt,Fogliadoro,きんのはっぱ,금빛나뭇잎,Hoja Dorada
Silver Leaf,Feuille Arg.,Silberblatt,Fogliargento,ぎんのはっぱ,은빛나뭇잎,Hoja Plata
Brick Piece,Morc.Brique,Ziegelstein,Mattoncino,かわらのかけら,기와조각,Ladrillo
Nugget,Pepite,Nugget,Pepita,きんのたま,금구슬,Pepita
Heart Scale,Écaille Cœur,Herzschuppe,Squama Cuore,ハートのウロコ,하트비늘,Escama Corazón
Rare Bone,Os Rare,Steinknochen,Ossopesso,きちょうなホネ,귀중한뼈,Hueso Raro
Pretty Wing,Jolie Aile,Prachtfeder,Piumabella,きれいなハネ,고운날개,Pluma Bella
Balm Mushroom,Champi Suave,Duftpilz,Profumfungo,かおるキノコ,향기버섯,Seta Aroma
Big Nugget,Maxi Pépite,Riesennugget,Granpepita,でかいきんのたま,큰금구슬,Maxipepita
Pearl String,Perle Triple,Triperle,Trittiperla,おだんごしんじゅ,경단진주,Sarta Perlas
Comet Shard,Morceau Comète,Kometstück,Pezzo Cometa,すいせいのかけら,혜성조각,Fragmento Cometa
Relic Copper,Vieux Sou,Alter Heller,Soldantico,こだいのどうか,고대의동화,Real Cobre
Relic Silver,Vieil Écu,Alter Taler,Ducatantico,こだいのぎんか,고대의은화,Real Plata
Relic Gold,Vieux Ducat,Alter Dukat,Doblonantico,こだいのきんか,고대의금화,Real Oro
Relic Vase,Vieux Vase,Alte Vase,Vasantico,こだいのツボ,고대의항아리,Ánfora
Relic Band,Vieux Bijou,Alter Rief,Bracciantico,こだいのうでわ,고대의팔찌,Brazal
Relic Statue,Vieux Santon,Alte Statue,Statuantica,こだいのせきぞう,고대의석상,Efi. Antigua
Relic Crown,Vieux Tortil,Alte Krone,Coronantica,こだいのおうかん,고대의왕관,Cor. Antigua
Bright Powder,Poudre Claire,Blendpuder,Luminpolvere,ひかりのこな,반짝가루,Polvo Brillo
Exp. Share,Multi Exp,EP-Teiler,Condividi Esp.,がくしゅうそうち,학습장치,Repartir Exp.
Quick Claw,Vive Griffe,Flinkklaue,Rapidartigli,せんせいのツメ,선제공격손톱,Garra Rápida
King's Rock,Roche Royale,King-Stein,Roccia Di Re,おうじゃのしるし,왕의징표석,Roca del Rey
Silver Powder,Poudre Argentée,Silberstaub,Argenpolvere,ぎんのこな,은빛가루,Polvo Plata
Amulet Coin,Piece Rune,Münzamulett,Monetamuleto,おまもりこばん,부적금화,Moneda Amuleto
Cleanse Tag,Rune Purifiante,Schutzband,Velopuro,きよめのおふだ,순결의부적,Amuleto
Smoke Ball,Boule Fumée,Rauchball,Palla Fumo,けむりだま,연막탄,Bola Humo
Everstone,Pierre Stase,Ewigstein,Pietrastante,かわらずのいし,변함없는돌,Piedra Eterna
Focus Band,Bandeau,Fokus-Band,Bandana,きあいのハチマキ,기합의머리띠,Cinta Focus
Focus Sash,Ceinture Force,Fokusgurt,Focalnastro,きあいのタスキ,기합의띠,Banda Focus
Lucky Egg,Œuf Chance,Glücks-Ei,Fortunuovo,しあわせタマゴ,행복의알,Huevo Suerte
Scope Lens,Lentilscope,Scope-Linse,Mirino,ピントレンズ,초점렌즈,Periscopio
Metal Coat,Peau Metal,Metallmantel,Metalcoperta,メタルコート,금속코트,Revest.Metálico
Leftovers,Restes,Überreste,Avanzi,たべのこし,먹다남은음식,Restos
Dragon Scale,Écaille Draco,Drachenhaut,Squama Drago,りゅうのウロコ,용의비늘,Escamadragón
Light Ball,Ballelumiere,Kugelblitz,Elettropalla,でんきだま,전기구슬,Bolaluminosa
Soft Sand,Sable Doux,Pudersand,Sabbia Soffice,やわらかいすな,부드러운모래,Arena Fina
Hard Stone,Pierre Dure,Granitstein,Pietradura,かたいいし,딱딱한돌,Piedra Dura
Miracle Seed,Grain Miracle,Wundersaat,Miracolseme,きせきのタネ,기적의씨,Semilla Milagro
Black Glasses,Lunettes Noires,Schattenglas,Occhialineri,くろいメガネ,검은안경,Gafas de Sol
Black Belt,Ceinture Noire,Schwarzgurt,Cinturanera,くろおび,검은띠,Cinturón Negro
Magnet,Aimant,Magnet,Calamita,じしゃく,자석,Imán
Mystic Water,Eau Mystique,Zauberwasser,Acqua Magica,しんぴのしずく,신비의물방울,Agua Mística
Sharp Beak,Bec Pointu,Hackattack,Beccaffilato,するどいくちばし,예리한부리,Pico Afilado
Poison Barb,Pic Venin,Giftstich,Velenago,どくバリ,독바늘,Flecha Venenosa
Never-Melt Ice,Glace Éternelle,Ewiges Eis,Gelomai,とけないこおり,녹지않는얼음,Antiderretir
Spell Tag,Rune Sort,Bannsticker,Spettrotarga,のろいのおふだ,저주의부적,Hechizo
Twisted Spoon,Cuiller Tordue,Krümmlöffel,Cucchiaio Torto,まがったスプーン,휘어진스푼,Cuchara Torcida
Charcoal,Charbon,Holzkohle,Carbonella,もくたん,목탄,Carbón
Dragon Fang,Croc Dragon,Drachenzahn,Dentedidrago,りゅうのキバ,용의이빨,Colmillo Dragón*
Pink Bow,Ruban Rose,Rosa Band,Fiocco Rosa,ピンクのリボン,핑크빛리본,Lazo Rosa
Polkadot Bow,Ruban a Pois,Punkt-Band,Fiocco Pois,みずたまりボン,물방울리본,Cintalunares
Up-Grade,Améliorator,Up-Grade,Upgrade,アップグレード,업그레이드,Mejora
Lucky Punch,Poing Chance,Lucky Punch,Fortunpugno,ラッキーパンチ,럭키펀치,Puño Suerte
Metal Powder,Poudre Metal,Metallstaub,Metalpolvere,メタルパウダー,금속파우더,Polvo Metálico
Thick Club,Masse Os,Kampfknochen,Ossospesso,ふといホネ,굵은뼈,Hueso Grueso
Stick,Baton,Lauchstange,Gambo,ながねぎ,대파,Palo
Berserk Gene,ADN Berzerk,Berserk-Gen,Gene Furioso,はかいのいでんし,파괴의유전자,Gen Loco
White Herb,Herbe Blanche*,Schlohkraut,Erbachiara,しろいハーブ,하양허브,Hierba Blanca
Macho Brace,Bracelet Macho*,Machoband,Crescicappa,きょうせいギプス,교정깁스,Brazal Firme*
Soothe Bell,Grelot Zen,Sanftglocke,Calmanella,やすらぎのすず,평온의방울,Campana Alivio
Mental Herb,Herbe Mental,Mentalkraut,Mentalerba,メンタルハーブ,멘탈허브,Hierba Mental
Choice Band,Bandeau Choix*,Wahlband,Bendascelta,こだわりハチマキ,구애머리띠,Cinta Elegida
Soul Dew,Rosée Âme,Seelentau,Cuorugiada,こころのしずく,마음의물방울,Rocío Bondad
Deep Sea Tooth,Dent Océan,Abysszahn,Dente Abissi*,しんかいのキバ,심해의이빨,Diente Marino
Deep Sea Scale,Écaille Océan*,Abyssplatte,Squamabissi,しんかいのウロコ,심해의비늘,Escama Marina
Silk Scarf,Mouchoir Soie*,Seidenschal,Sciarpa Seta*,シルクのスカーフ,실크스카프,Pañuelo Seda
Shell Bell,Grelot Coque,Seegesang,Conchinella,かいがらのすず,조개껍질방울,Campana Concha
Sea Incense,Encens Mer,Seerauch,Marearoma,うしおのおこう,바닷물향로,Incienso Marino*
Lax Incense,Encens Doux,Laxrauch,Distraroma,のんきのおこう,무사태평항로,Incienso Suave*
Red Scarf,Foul.Rouge,Roter Schal,Fascia Rossa,あかいバンダナ,빨강밴드,Pañuelo Rojo
Blue Scarf,Foul. Bleu,Blauer Schal,Fascia Blu,あおいバンダナ,파랑밴드,Pañuelo Azul
Pink Scarf,Foul. Rose,Rosa Schal,Fascia Rosa,ピンクのバンダナ,분홍밴드,Pañuelo Rosa
Green Scarf,Foul. Vert,Grüner Schal,Fascia Verde,みどりのバンダナ,초록밴드,Pañuelo Verde
Yellow Scarf,Foul.Jaune,Gelber Schal,Fascia Gialla,きいろのバンダナ,노랑밴드,Pañuelo Amarillo
Red Orb,Orbe Rouge,Rote Kugel,Sfera Rossa,べにいろのたま,주홍구슬,Esfera Roja
Blue Orb,Orbe Bleu,Blaue Kugel,Sfera Blu,あいいろのたま,쪽빛구슬,Esfera Azul
Flame Plate,Plaque Flam,Feuertafel,Lastrarogo,ひのたまプレート,불구슬플레이트,Tabla Llama
Splash Plate,Plaque Hydro,Wassertafel,Lastraidro,しずくプレート,물방울플레이트,Tabla Linfa
Zap Plate,Plaque Volt,Blitztafel,Lastrasaetta,いかずちプレート,우뢰플레이트,Tabla Trueno
Meadow Plate,Plaque Herbe,Wiesentafel,Lastraprato,みどりのプレート,초록플레이트,Tabla Pradal
Icicle Plate,Plaque Glace,Frosttafel,Lastragelo,つららのプレート,고드름플레이트,Tabla Helada
Fist Plate,Plaque Poing,Fausttafel,Lastrapugno,こぶしのプレート,주먹플레이트,Tabla Fuerte
Toxic Plate,Plaque Toxic,Gifttafel,Lastrafiele,もうどくプレート,맹독플레이트,Tabla Tóxica
Earth Plate,Plaque Terre,Erdtafel,Lastrageo,だいちのプレート,대지플레이트,Tabla Terrax
Sky Plate,Plaque Ciel,Wolkentafel,Lastracielo,あおぞらプレート,푸른하늘플레이트,Tabla Cielo
Mind Plate,Plaque Esprit*,Hirntafel,Lastramente,ふしぎのプレート,이상한플레이트,Tabla Mental
Insect Plate,Plaquinsect,Käfertafel,Lastrabaco,たまむしプレート,비단벌레플레이트,Tabla Bicho
Stone Plate,Plaque Roc,Steintafel,Lastrapietra,がんせきプレート,암석플레이트,Tabla Pétrea
Spooky Plate,Plaque Fantô,Spuktafel,Lastratetra,もののけプレート,원령플레이트,Tabla Terror
Draco Plate,Plaque Draco,Dracotafel,Lastradrakon,りゅうのプレート,용의플레이트,Tabla Draco
Dread Plate,Plaque Ombre,Furchttafel,Lastratimore,こわもてプレート,공포플레이트,Tabla Oscura
Iron Plate,Plaque Fer,Eisentafel,Lastraferro,こうてつプレート,강철플레이트,Tabla Acero
Odd Incense,Encens Bizarre*,Schrägrauch,Bizzoaroma,あやしいおこう,괴상한향로,Incienso Raro*
Rock Incense,Encens Roc,Steinrauch,Roccioaroma,がんせきおこう,암석향로,Incienso Roca*
Full Incense,Encens Plein,Lahmrauch,Gonfioaroma,まんぷくおこう,만복향로,Incienso Lento*
Wave Incense,Encens Vague,Wellenrauch,Ondaroma,さざなみのおこう,잔물결향로,Incienso Aqua*
Rose Incense,Encens Fleur,Rosenrauch,Rosaroma,おはなのおこう,꽃향로,Incienso Floral*
Luck Incense,Encens Veine,Glücksrauch,Fortunaroma,こううんのおこう,행운의향로,Incienso Duplo*
Pure Incense,Encens Pur,Scheuchrauch,Puroaroma,きよめのおこう,순결의향로,Incienso Puro*
Protector,Protecteur,Schützer,Copertura,プロテクター,프로텍터,Protector
Electirizer,Électiriseur,Stromisierer,Elettritore,エレキブースター,에레키부스터,Electrizador
Magmarizer,Magmariseur,Magmaisierer,Magmatore,マグマブースター,마그마부스터,Magmatizador
Dubious Disc,CD Douteux,Dubiosdisc,Dubbiodisco,あやしいパッチ,괴상한패치,Discoxtraño
Reaper Cloth,Tissu Fauche,Düsterumhang,Terrorpanno,れいかいのぬの,영계의천,Tela Terrible*
Razor Claw,Griffe Rasoir,Scharfklaue,Affilartigli,するどいツメ,예리한손톱,Garra Afilada*
Razor Fang,Croc Rasoir,Scharfzahn,Affilodente,するどいキバ,예리한이빨,Colmillo Agudo*
Oval Stone,Pierre Ovale,Ovaler Stein,Pietraovale,まんまるいし,동글동글돌,Piedra Oval
Adamant Orb,Orbe Adamant,Adamant-Orb,Adamasfera,こんごうだま,금강옥,Diamansfera
Lustrous Orb,Orbe Perlé,Weiß-Orb,Splendisfera,しらたま,백옥,Lustresfera
Griseous Orb,Orbe Platiné,Platinum-Orb,Grigiosfera,はっきんだま,백금옥,Griseosfera
Wide Lens,Loupe,Großlinse,Grandelente,こうかくレンズ,광각렌즈,Lupa
Muscle Band,Bandeau Muscle,Muskelband,Muscolbanda,ちからのハチマキ,힘의머리띠,Cinta Fuerte
Wise Glasses,Lunettes Sages*,Schlauglas,Saviocchiali,ものしりメガネ,박식안경,Gafas Especiales*
Expert Belt,Ceinture Pro,Expertengurt,Abilcintura,たつじんのおび,달인의띠,Cinta Xperto
Light Clay,Lumargile,Lichtlehm,Creta Luce,ひかりのねんど,빛의점토,Refleluz
Life Orb,Orbe Vie,Leben-Orb,Assorbisfera,いのちのたま,생명의구슬,Vidasfera
Power Herb,Herbe Pouvoir*,Energiekraut,Vigorerba,パワフルハーブ,파워풀허브,Hierba Única
Toxic Orb,Orbe Toxique,Toxik-Orb,Tossicsfera,どくどくだま,맹독구슬,Toxisfera
Flame Orb,Orbe Flamme,Heiß-Orb,Fiammosfera,かえんだま,화염구슬,Llamasfera
Quick Powder,Poudre Vite,Flottstaub,Velopolvere,スピードパウダー,스피드파우더,Polvo Veloz
